iter	Logloss	Accuracy
0	0.6788134667	0.6367690783
1	0.664817374	0.6471754212
2	0.653805103	0.6456888008
3	0.6466898151	0.6476709613
4	0.6388538646	0.6531219029
5	0.6333673039	0.6560951437
6	0.6298509843	0.6541129832
7	0.6261057871	0.6531219029
8	0.6220003726	0.6531219029
9	0.6192024661	0.6546085233
10	0.6148986053	0.6625371655
11	0.6125111322	0.6645193261
12	0.6101658228	0.6640237859
13	0.6074425547	0.6650148662
14	0.6045705669	0.6699702676
15	0.6028632128	0.6709613479
16	0.6002369629	0.6739345887
