iter	Passed	Remaining
0	221	221067
1	256	128077
2	280	93070
3	303	75672
4	332	66177
5	353	58561
6	374	53139
7	395	49065
8	422	46486
9	441	43718
10	476	42808
11	510	42014
12	549	41730
13	578	40731
14	612	40252
15	634	39015
16	656	37936
17	678	37038
18	709	36626
19	729	35725
20	753	35110
21	773	34403
22	794	33760
23	815	33172
24	842	32841
25	859	32187
26	887	31981
27	908	31554
28	928	31091
29	948	30659
30	970	30344
31	989	29936
32	1012	29656
33	1052	29909
34	1107	30532
35	1190	31874
36	1284	33423
37	1321	33457
38	1348	33240
39	1367	32822
40	1387	32458
41	1420	32412
42	1446	32198
43	1480	32175
44	1510	32048
45	1551	32178
46	1598	32409
47	1646	32647
48	1687	32744
49	1724	32756
50	1744	32463
51	1763	32154
52	1782	31850
53	1810	31714
54	1837	31564
55	1857	31319
56	1874	31010
57	1889	30682
58	1904	30378
59	1918	30053
60	1937	29821
61	1954	29566
62	1969	29297
63	1987	29067
64	2007	28870
65	2025	28663
66	2044	28476
67	2065	28314
68	2084	28119
69	2102	27930
70	2120	27743
71	2141	27602
72	2160	27435
73	2178	27264
74	2196	27092
75	2211	26886
76	2224	26664
77	2238	26460
78	2254	26280
79	2268	26093
80	2282	25896
81	2297	25724
82	2312	25553
83	2327	25376
84	2340	25194
85	2353	25014
86	2366	24839
87	2379	24664
88	2395	24515
89	2408	24355
90	2428	24262
91	2449	24175
92	2470	24098
93	2488	23984
94	2506	23877
95	2525	23782
96	2546	23703
97	2566	23618
98	2585	23532
99	2604	23441
100	2622	23341
101	2656	23388
102	2689	23420
103	2712	23369
104	2732	23289
105	2750	23194
106	2769	23113
107	2786	23017
108	2800	22896
109	2816	22785
110	2832	22685
111	2849	22593
112	2868	22514
113	2884	22414
114	2898	22307
115	2913	22199
116	2928	22103
117	2944	22009
118	2961	21925
119	2975	21818
120	3001	21805
121	3019	21729
122	3033	21627
123	3060	21623
124	3078	21551
125	3092	21452
126	3112	21393
127	3137	21374
128	3151	21277
129	3173	21240
130	3188	21147
131	3204	21070
132	3217	20976
133	3231	20883
134	3244	20790
135	3261	20720
136	3274	20629
137	3288	20539
138	3301	20452
139	3314	20361
140	3328	20275
141	3341	20190
142	3355	20107
143	3368	20022
144	3381	19938
145	3397	19873
146	3412	19804
147	3426	19726
148	3444	19675
149	3463	19628
150	3484	19591
151	3502	19539
152	3521	19495
153	3539	19445
154	3559	19405
155	3578	19359
156	3597	19314
157	3617	19276
158	3638	19245
159	3660	19219
160	3679	19175
161	3699	19135
162	3722	19112
163	3742	19076
164	3762	19039
165	3777	18980
166	3795	18930
167	3810	18872
168	3824	18803
169	3838	18740
170	3852	18678
171	3868	18622
172	3881	18555
173	3897	18501
174	3915	18457
175	3935	18424
176	3953	18381
177	3971	18341
178	3989	18296
179	4002	18233
180	4016	18173
181	4030	18114
182	4047	18069
183	4060	18005
184	4073	17946
185	4086	17885
186	4099	17822
187	4112	17761
188	4126	17704
189	4140	17649
190	4155	17599
191	4168	17540
192	4182	17487
193	4195	17431
194	4209	17376
195	4223	17324
196	4236	17269
197	4250	17216
198	4262	17157
199	4276	17106
200	4290	17056
201	4304	17005
202	4318	16955
203	4331	16901
204	4345	16851
205	4359	16801
206	4372	16749
207	4385	16697
208	4398	16647
209	4411	16595
210	4424	16544
211	4437	16495
212	4454	16457
213	4467	16409
214	4480	16360
215	4497	16323
216	4513	16286
217	4530	16251
218	4548	16221
219	4563	16181
220	4578	16139
221	4592	16094
222	4606	16051
223	4620	16005
224	4634	15962
225	4648	15918
226	4660	15870
227	4673	15824
228	4686	15779
229	4699	15733
230	4711	15685
231	4725	15641
232	4737	15596
233	4752	15557
234	4769	15526
235	4785	15491
236	4802	15460
237	4815	15419
238	4830	15379
239	4844	15341
240	4859	15304
241	4872	15261
242	4885	15219
243	4898	15176
244	4910	15131
245	4922	15088
246	4935	15046
247	4952	15016
248	4965	14976
249	4981	14944
250	4996	14909
251	5012	14877
252	5025	14837
253	5047	14826
254	5065	14798
255	5083	14772
256	5100	14745
257	5116	14714
258	5131	14682
259	5149	14656
260	5163	14621
261	5181	14595
262	5197	14565
263	5215	14539
264	5232	14511
265	5251	14492
266	5266	14457
267	5283	14431
268	5300	14404
269	5318	14378
270	5333	14346
271	5348	14314
272	5361	14277
273	5378	14251
274	5396	14227
275	5413	14200
276	5428	14167
277	5439	14128
278	5453	14091
279	5466	14056
