Extracurricular Activities_Yes,Previous Scores,Hours Studied,Sample Question Papers Practiced,Sleep Hours,Extracurricular Activities_No,target
1.0,99,7,1,9,0.0,91.0
0.0,82,4,2,4,1.0,65.0
1.0,51,8,2,7,0.0,45.0
1.0,52,5,2,5,0.0,36.0
0.0,75,7,5,8,1.0,66.0
0.0,78,3,6,9,1.0,61.0
1.0,73,7,6,5,0.0,63.0
1.0,45,8,6,4,0.0,42.0
0.0,77,5,2,8,1.0,61.0
0.0,89,4,0,4,1.0,69.0
0.0,91,8,5,4,1.0,84.0
0.0,79,8,2,6,1.0,73.0
0.0,47,3,2,9,1.0,27.0
0.0,47,6,2,4,1.0,33.0
0.0,79,5,8,7,1.0,68.0
0.0,72,2,3,4,1.0,43.0
1.0,73,8,4,8,0.0,67.0
1.0,83,6,2,7,0.0,70.0
1.0,54,2,9,4,0.0,30.0
0.0,75,5,0,7,1.0,63.0
1.0,99,1,3,4,0.0,71.0
0.0,96,6,0,9,1.0,85.0
1.0,74,9,6,7,0.0,73.0
0.0,85,1,6,5,1.0,57.0
0.0,61,3,3,6,1.0,35.0
1.0,62,7,4,7,0.0,49.0
0.0,79,4,9,8,1.0,66.0
1.0,84,9,6,6,0.0,83.0
1.0,94,3,5,6,0.0,74.0
1.0,90,5,3,4,0.0,74.0
1.0,61,3,3,7,0.0,39.0
1.0,44,7,1,9,0.0,36.0
1.0,70,5,9,6,0.0,58.0
1.0,52,9,1,8,0.0,47.0
1.0,67,7,3,9,0.0,60.0
1.0,97,2,4,9,0.0,74.0
0.0,59,4,3,8,1.0,42.0
0.0,72,9,2,8,1.0,68.0
1.0,55,2,1,4,0.0,32.0
0.0,68,9,3,5,1.0,64.0
0.0,62,5,4,7,1.0,45.0
1.0,63,2,0,6,0.0,39.0
1.0,73,4,0,7,0.0,58.0
0.0,46,7,5,9,1.0,36.0
1.0,77,8,4,6,0.0,71.0
1.0,76,3,3,4,0.0,54.0
1.0,43,1,0,7,0.0,17.0
0.0,73,4,6,4,1.0,54.0
1.0,81,2,3,4,0.0,58.0
0.0,61,8,2,7,1.0,53.0
1.0,44,4,6,7,0.0,27.0
1.0,89,2,1,6,0.0,65.0
0.0,81,6,9,9,1.0,75.0
1.0,62,6,0,9,0.0,52.0
0.0,93,4,3,8,1.0,78.0
0.0,99,6,7,4,1.0,91.0
1.0,54,2,5,9,0.0,33.0
1.0,70,2,8,5,0.0,47.0
0.0,98,4,0,6,1.0,78.0
0.0,48,8,0,6,1.0,38.0
1.0,82,7,4,8,0.0,70.0
1.0,97,9,5,8,0.0,98.0
1.0,92,8,7,4,0.0,87.0
1.0,64,5,2,6,0.0,49.0
1.0,64,2,5,6,0.0,41.0
0.0,88,5,2,5,1.0,71.0
0.0,60,8,7,4,1.0,54.0
0.0,48,9,3,4,1.0,42.0
0.0,94,9,1,9,1.0,91.0
1.0,87,1,8,8,0.0,61.0
0.0,77,9,9,9,1.0,74.0
1.0,61,7,7,4,0.0,54.0
1.0,82,9,5,5,0.0,81.0
1.0,62,8,2,4,0.0,52.0
1.0,88,1,1,9,0.0,65.0
1.0,43,8,3,7,0.0,36.0
0.0,68,8,3,7,1.0,61.0
1.0,54,3,0,5,0.0,35.0
1.0,40,1,8,8,0.0,15.0
1.0,93,8,9,6,0.0,88.0
0.0,69,3,7,4,1.0,45.0
1.0,68,3,6,9,0.0,49.0
1.0,59,1,5,8,0.0,33.0
1.0,72,5,2,9,0.0,60.0
0.0,80,7,3,8,1.0,71.0
1.0,83,9,1,4,0.0,81.0
0.0,75,7,6,6,1.0,67.0
0.0,99,9,1,4,1.0,95.0
1.0,61,8,9,6,0.0,58.0
0.0,52,2,0,9,1.0,29.0
0.0,46,1,5,5,1.0,21.0
1.0,47,7,3,6,0.0,38.0
1.0,67,7,7,8,0.0,60.0
1.0,84,8,0,5,0.0,76.0
1.0,82,5,8,9,0.0,69.0
0.0,48,3,5,7,1.0,30.0
0.0,64,8,1,5,1.0,57.0
1.0,95,6,7,6,0.0,81.0
1.0,55,3,4,5,0.0,36.0
1.0,49,1,4,9,0.0,25.0
0.0,50,3,4,5,1.0,27.0
1.0,70,5,6,9,0.0,61.0
0.0,51,3,6,7,1.0,34.0
0.0,99,1,9,6,1.0,76.0
0.0,70,5,6,8,1.0,57.0
0.0,53,7,9,5,1.0,45.0
1.0,90,7,1,4,0.0,76.0
1.0,83,9,7,8,0.0,83.0
1.0,71,3,0,5,0.0,50.0
0.0,89,7,1,8,1.0,81.0
0.0,92,1,6,4,1.0,66.0
1.0,56,4,3,8,0.0,38.0
0.0,74,4,9,8,1.0,56.0
0.0,40,5,9,4,1.0,25.0
0.0,68,7,8,4,1.0,56.0
1.0,90,7,8,4,0.0,82.0
1.0,43,4,2,7,0.0,23.0
1.0,62,7,2,9,0.0,56.0
0.0,67,3,8,9,1.0,46.0
1.0,55,6,9,4,0.0,43.0
1.0,51,2,7,9,0.0,30.0
1.0,92,9,0,8,0.0,92.0
0.0,60,5,5,4,1.0,45.0
0.0,84,6,6,5,1.0,70.0
0.0,56,4,7,4,1.0,36.0
0.0,79,7,1,4,1.0,71.0
0.0,52,9,0,9,1.0,49.0
1.0,91,7,3,6,0.0,82.0
1.0,97,1,0,8,0.0,71.0
0.0,71,1,1,9,1.0,43.0
0.0,76,9,2,8,1.0,77.0
1.0,89,9,3,5,0.0,86.0
0.0,54,4,5,7,1.0,34.0
0.0,51,9,7,6,1.0,49.0
0.0,88,3,8,5,1.0,69.0
0.0,96,7,3,5,1.0,84.0
0.0,54,6,0,8,1.0,41.0
1.0,73,8,4,6,0.0,68.0
1.0,45,9,4,8,0.0,44.0
0.0,56,5,8,7,1.0,41.0
0.0,87,1,5,8,1.0,58.0
1.0,88,3,4,4,0.0,68.0
0.0,96,8,9,8,1.0,94.0
1.0,59,6,9,4,0.0,47.0
0.0,48,8,4,5,1.0,40.0
1.0,98,9,7,7,0.0,100.0
1.0,44,4,0,9,0.0,23.0
0.0,62,1,4,4,1.0,36.0
0.0,72,1,0,7,1.0,47.0
1.0,77,4,6,8,0.0,60.0
0.0,95,7,6,9,1.0,83.0
1.0,53,2,9,8,0.0,33.0
0.0,56,3,7,5,1.0,36.0
0.0,96,1,6,8,1.0,74.0
0.0,58,5,8,4,1.0,42.0
1.0,72,1,7,5,0.0,47.0
1.0,40,8,7,7,0.0,31.0
0.0,52,1,2,5,1.0,26.0
1.0,85,1,9,7,0.0,58.0
0.0,66,2,3,6,1.0,42.0
1.0,45,2,3,4,0.0,18.0
0.0,98,6,0,4,1.0,85.0
1.0,45,7,5,7,0.0,36.0
1.0,72,5,1,8,0.0,58.0
1.0,69,1,8,9,0.0,45.0
1.0,85,1,0,8,0.0,60.0
1.0,74,3,0,6,0.0,56.0
1.0,62,2,9,7,0.0,42.0
0.0,49,5,5,6,1.0,33.0
0.0,90,6,0,7,1.0,77.0
1.0,58,7,2,6,0.0,51.0
0.0,90,4,9,7,1.0,72.0
1.0,67,7,1,4,0.0,57.0
0.0,62,8,8,6,1.0,53.0
0.0,43,1,4,6,1.0,16.0
0.0,59,6,5,7,1.0,45.0
0.0,58,8,1,5,1.0,49.0
1.0,81,5,7,5,0.0,67.0
0.0,66,4,5,4,1.0,49.0
0.0,96,2,7,8,1.0,73.0
0.0,73,6,7,8,1.0,65.0
1.0,43,6,0,4,0.0,27.0
0.0,95,1,6,8,1.0,72.0
1.0,77,9,1,9,0.0,74.0
1.0,46,6,7,9,0.0,38.0
0.0,87,3,1,9,1.0,67.0
1.0,46,4,3,9,0.0,28.0
0.0,89,4,1,7,1.0,73.0
0.0,91,3,6,5,1.0,72.0
0.0,65,3,4,4,1.0,42.0
0.0,65,3,8,7,1.0,47.0
0.0,93,4,4,9,1.0,77.0
0.0,58,7,7,4,1.0,49.0
0.0,48,4,1,5,1.0,30.0
1.0,59,9,2,8,0.0,54.0
1.0,81,1,5,7,0.0,56.0
0.0,84,8,6,5,1.0,75.0
0.0,89,7,9,4,1.0,78.0
1.0,55,2,7,6,0.0,32.0
0.0,93,8,2,7,1.0,89.0
1.0,56,1,6,4,0.0,29.0
1.0,61,9,7,4,0.0,57.0
0.0,52,9,9,5,1.0,48.0
0.0,51,2,5,4,1.0,27.0
1.0,49,7,3,7,0.0,38.0
1.0,40,3,5,9,0.0,18.0
0.0,71,7,8,7,1.0,66.0
0.0,69,9,2,4,1.0,65.0
1.0,47,4,1,5,0.0,27.0
1.0,60,1,4,7,0.0,33.0
1.0,61,2,6,6,0.0,37.0
0.0,57,1,2,9,1.0,29.0
0.0,41,5,4,8,1.0,26.0
0.0,87,5,3,5,1.0,72.0
1.0,83,7,6,5,0.0,77.0
1.0,48,9,1,8,0.0,45.0
0.0,42,9,6,8,1.0,41.0
1.0,93,3,1,7,0.0,73.0
1.0,65,3,2,4,0.0,43.0
1.0,60,3,4,4,0.0,39.0
1.0,69,4,6,6,0.0,54.0
1.0,67,8,5,9,0.0,62.0
0.0,75,6,6,4,1.0,63.0
0.0,65,8,5,6,1.0,59.0
0.0,73,1,0,6,1.0,46.0
0.0,47,8,4,5,1.0,42.0
0.0,49,4,0,5,1.0,30.0
1.0,87,1,6,9,0.0,63.0
1.0,94,8,3,7,0.0,89.0
1.0,82,4,4,8,0.0,62.0
0.0,89,6,0,8,1.0,77.0
1.0,93,8,7,9,0.0,88.0
1.0,53,4,3,6,0.0,35.0
1.0,79,3,2,9,0.0,60.0
0.0,94,9,0,8,1.0,92.0
1.0,54,3,3,6,0.0,38.0
1.0,56,9,2,8,0.0,56.0
0.0,92,2,7,7,1.0,70.0
0.0,57,2,8,5,1.0,35.0
1.0,71,2,4,5,0.0,47.0
0.0,77,6,8,6,1.0,66.0
1.0,62,3,0,9,0.0,43.0
0.0,85,9,6,8,1.0,81.0
1.0,62,4,6,4,0.0,43.0
1.0,74,1,5,7,0.0,46.0
0.0,78,4,3,8,1.0,61.0
0.0,54,1,8,4,1.0,27.0
0.0,92,5,2,7,1.0,77.0
0.0,63,4,0,7,1.0,43.0
1.0,67,8,1,5,0.0,60.0
0.0,55,8,2,6,1.0,48.0
1.0,55,7,1,8,0.0,47.0
1.0,79,3,5,7,0.0,60.0
1.0,78,1,6,8,0.0,53.0
0.0,45,1,4,7,1.0,19.0
1.0,41,3,4,9,0.0,23.0
1.0,93,6,6,5,0.0,81.0
0.0,52,7,5,6,1.0,41.0
1.0,83,6,7,4,0.0,71.0
1.0,86,6,8,4,0.0,75.0
1.0,98,6,1,9,0.0,89.0
0.0,48,3,1,5,1.0,28.0
1.0,73,6,0,7,0.0,60.0
1.0,56,8,6,5,0.0,54.0
1.0,66,2,3,6,0.0,41.0
0.0,68,5,8,4,1.0,52.0
0.0,76,1,5,8,1.0,53.0
0.0,82,1,6,4,1.0,52.0
1.0,61,5,6,6,0.0,47.0
1.0,90,3,7,7,0.0,71.0
1.0,63,4,3,5,0.0,42.0
1.0,46,3,2,4,0.0,21.0
1.0,73,1,2,4,0.0,48.0
0.0,87,1,9,8,1.0,64.0
1.0,51,5,7,5,0.0,38.0
1.0,62,6,2,8,0.0,49.0
0.0,54,3,7,8,1.0,35.0
0.0,72,9,1,7,1.0,73.0
1.0,96,5,4,4,0.0,81.0
0.0,52,8,4,9,1.0,47.0
0.0,62,1,6,5,1.0,36.0
0.0,77,5,4,7,1.0,63.0
1.0,71,3,8,9,0.0,52.0
0.0,84,1,2,7,1.0,58.0
1.0,89,4,8,7,0.0,77.0
0.0,74,5,0,6,1.0,58.0
1.0,40,7,2,6,0.0,33.0
1.0,86,1,3,7,0.0,67.0
1.0,97,3,5,6,0.0,76.0
0.0,84,2,9,5,1.0,62.0
0.0,44,9,7,4,1.0,37.0
0.0,96,6,6,9,1.0,86.0
1.0,52,3,7,5,0.0,37.0
0.0,93,8,5,4,1.0,88.0
0.0,44,8,5,6,1.0,38.0
1.0,99,2,5,9,0.0,76.0
0.0,71,6,2,5,1.0,57.0
1.0,90,7,9,8,0.0,82.0
0.0,60,2,3,7,1.0,35.0
1.0,63,2,5,4,0.0,41.0
1.0,99,1,6,4,0.0,75.0
0.0,57,8,2,8,1.0,51.0
1.0,60,1,3,8,0.0,34.0
0.0,93,9,5,7,1.0,92.0
0.0,49,6,0,6,1.0,39.0
0.0,63,7,6,5,1.0,56.0
0.0,79,7,0,5,1.0,69.0
1.0,86,3,9,5,0.0,69.0
1.0,60,2,8,6,0.0,40.0
1.0,64,9,9,7,0.0,63.0
0.0,91,8,8,5,1.0,86.0
0.0,99,7,8,4,1.0,89.0
1.0,96,9,3,4,0.0,94.0
1.0,98,4,1,4,0.0,79.0
0.0,62,4,6,8,1.0,44.0
0.0,61,1,3,8,1.0,33.0
0.0,43,8,4,6,1.0,36.0
1.0,73,3,0,5,0.0,50.0
0.0,95,7,9,8,1.0,94.0
1.0,45,2,5,4,0.0,22.0
0.0,67,2,6,8,1.0,44.0
1.0,70,7,2,4,0.0,60.0
0.0,74,6,9,5,1.0,64.0
1.0,78,3,1,6,0.0,58.0
1.0,81,9,9,7,0.0,78.0
1.0,62,6,6,7,0.0,51.0
0.0,45,6,0,4,1.0,30.0
1.0,55,1,1,8,0.0,29.0
1.0,41,4,2,8,0.0,22.0
0.0,63,6,3,4,1.0,51.0
1.0,56,6,4,5,0.0,45.0
1.0,84,5,3,4,0.0,70.0
0.0,40,1,9,5,1.0,10.0
1.0,45,8,2,6,0.0,38.0
0.0,44,5,0,6,1.0,30.0
1.0,96,5,6,4,0.0,82.0
0.0,84,7,9,6,1.0,74.0
1.0,99,4,5,8,0.0,87.0
1.0,94,6,1,5,0.0,77.0
1.0,89,4,1,7,0.0,72.0
0.0,68,3,2,7,1.0,51.0
1.0,51,7,7,6,0.0,40.0
1.0,78,8,7,5,0.0,72.0
0.0,86,4,9,8,1.0,68.0
0.0,42,2,9,7,1.0,22.0
0.0,87,3,9,8,1.0,67.0
1.0,40,1,9,8,0.0,18.0
1.0,66,8,7,7,0.0,64.0
1.0,87,3,6,7,0.0,66.0
0.0,63,7,1,6,1.0,50.0
0.0,83,5,0,5,1.0,68.0
1.0,58,5,5,4,0.0,44.0
1.0,98,7,7,5,0.0,90.0
0.0,47,9,0,4,1.0,41.0
0.0,94,5,2,7,1.0,83.0
0.0,83,1,0,8,1.0,57.0
1.0,86,1,9,5,0.0,64.0
0.0,41,2,8,8,1.0,18.0
0.0,69,6,6,5,1.0,62.0
0.0,69,9,7,9,1.0,66.0
0.0,88,8,8,5,1.0,85.0
1.0,78,5,2,8,0.0,62.0
0.0,84,1,9,9,1.0,62.0
1.0,71,7,1,6,0.0,62.0
1.0,40,5,5,7,0.0,26.0
0.0,77,6,4,6,1.0,66.0
0.0,52,7,3,6,1.0,43.0
1.0,50,3,5,5,0.0,30.0
0.0,49,3,5,7,1.0,25.0
1.0,87,5,2,9,0.0,77.0
0.0,98,6,1,5,1.0,88.0
1.0,65,9,8,4,0.0,62.0
1.0,95,5,7,5,0.0,82.0
1.0,94,1,3,9,0.0,73.0
0.0,59,4,5,8,1.0,44.0
1.0,56,5,2,5,0.0,40.0
1.0,56,5,7,4,0.0,39.0
0.0,43,7,2,5,1.0,34.0
0.0,44,4,1,9,1.0,27.0
1.0,62,5,2,7,0.0,46.0
0.0,85,7,8,9,1.0,78.0
1.0,91,6,2,5,0.0,80.0
0.0,49,5,7,4,1.0,33.0
0.0,85,4,1,9,1.0,68.0
0.0,67,2,8,7,1.0,45.0
1.0,72,4,0,8,0.0,56.0
0.0,82,3,2,6,1.0,58.0
1.0,65,1,1,4,0.0,37.0
1.0,94,8,6,8,0.0,88.0
0.0,89,5,4,7,1.0,75.0
0.0,87,4,7,8,1.0,70.0
0.0,68,8,1,5,1.0,62.0
0.0,66,7,7,6,1.0,57.0
1.0,57,2,6,4,0.0,32.0
1.0,79,1,4,9,0.0,53.0
0.0,99,4,1,7,1.0,82.0
1.0,49,8,9,6,0.0,41.0
0.0,97,2,6,7,1.0,75.0
1.0,81,3,9,8,0.0,63.0
1.0,44,1,3,7,0.0,17.0
1.0,49,1,3,7,0.0,24.0
0.0,89,3,7,8,1.0,69.0
1.0,60,5,5,8,0.0,47.0
1.0,63,3,8,6,0.0,43.0
1.0,77,1,1,4,0.0,48.0
1.0,42,1,4,8,0.0,17.0
0.0,79,8,5,6,1.0,75.0
1.0,70,2,7,7,0.0,54.0
0.0,80,3,3,7,1.0,59.0
0.0,76,2,6,9,1.0,56.0
1.0,41,3,6,5,0.0,20.0
1.0,41,7,3,8,0.0,34.0
0.0,78,1,0,6,1.0,54.0
0.0,88,8,2,9,1.0,83.0
0.0,81,2,1,6,1.0,59.0
1.0,83,3,2,4,0.0,63.0
1.0,73,9,4,9,0.0,72.0
0.0,81,7,0,6,1.0,70.0
0.0,59,4,4,8,1.0,41.0
0.0,72,5,1,6,1.0,54.0
1.0,43,2,3,5,0.0,21.0
1.0,84,8,5,7,0.0,83.0
0.0,83,4,8,7,1.0,64.0
1.0,50,9,9,9,0.0,51.0
0.0,81,5,5,6,1.0,66.0
1.0,86,9,9,6,0.0,83.0
0.0,44,4,1,6,1.0,26.0
1.0,64,5,7,6,0.0,49.0
1.0,88,9,4,5,0.0,85.0
1.0,99,8,8,8,0.0,95.0
1.0,76,3,9,5,0.0,56.0
1.0,73,1,8,5,0.0,50.0
1.0,48,3,3,5,0.0,23.0
1.0,45,4,0,7,0.0,26.0
0.0,53,1,8,6,1.0,28.0
0.0,58,7,7,5,1.0,48.0
1.0,53,8,4,6,0.0,46.0
1.0,79,7,4,9,0.0,73.0
1.0,56,5,9,8,0.0,45.0
0.0,99,1,5,7,1.0,76.0
0.0,74,7,0,8,1.0,71.0
0.0,68,7,8,9,1.0,60.0
0.0,81,9,4,8,1.0,77.0
0.0,56,3,6,7,1.0,36.0
0.0,98,9,7,6,1.0,96.0
1.0,82,1,4,9,0.0,62.0
0.0,47,1,2,9,1.0,22.0
1.0,40,4,5,6,0.0,21.0
0.0,84,9,6,6,1.0,79.0
0.0,92,6,3,7,1.0,82.0
1.0,75,3,8,5,0.0,55.0
1.0,46,1,3,4,0.0,22.0
1.0,85,4,9,5,0.0,70.0
0.0,44,9,1,5,1.0,37.0
0.0,63,3,8,8,1.0,42.0
1.0,67,9,3,4,0.0,64.0
0.0,82,7,3,6,1.0,72.0
1.0,56,4,9,5,0.0,42.0
0.0,76,3,0,7,1.0,56.0
0.0,59,5,1,5,1.0,43.0
0.0,42,5,2,6,1.0,24.0
1.0,76,3,6,5,0.0,55.0
0.0,65,9,8,9,1.0,64.0
1.0,54,4,4,8,0.0,34.0
1.0,90,5,3,8,0.0,78.0
1.0,87,4,1,5,0.0,71.0
1.0,47,5,6,8,0.0,33.0
1.0,52,7,5,7,0.0,46.0
1.0,87,9,6,4,0.0,86.0
1.0,42,7,7,5,0.0,34.0
1.0,40,5,8,7,0.0,26.0
1.0,48,7,9,9,0.0,44.0
0.0,70,5,4,7,1.0,53.0
1.0,80,3,4,7,0.0,61.0
0.0,93,7,3,9,1.0,84.0
1.0,65,2,2,6,0.0,40.0
0.0,56,9,6,5,1.0,53.0
0.0,95,1,4,5,1.0,67.0
0.0,73,6,6,5,1.0,58.0
0.0,48,7,1,4,1.0,41.0
0.0,95,8,8,7,1.0,89.0
0.0,90,9,8,5,1.0,85.0
1.0,52,2,8,8,0.0,33.0
1.0,44,2,4,6,0.0,20.0
1.0,80,5,9,9,0.0,66.0
1.0,52,5,8,9,0.0,38.0
1.0,40,6,0,4,0.0,25.0
1.0,64,3,1,9,0.0,43.0
0.0,86,8,9,6,1.0,79.0
1.0,43,1,4,7,0.0,16.0
0.0,75,6,4,9,1.0,67.0
0.0,91,4,5,9,1.0,80.0
0.0,49,1,7,8,1.0,26.0
0.0,67,7,0,7,1.0,57.0
0.0,96,9,9,5,1.0,91.0
0.0,45,4,8,6,1.0,29.0
1.0,66,4,3,9,0.0,48.0
0.0,95,6,7,8,1.0,84.0
0.0,51,3,4,6,1.0,33.0
1.0,91,6,0,4,0.0,82.0
1.0,87,7,8,8,0.0,81.0
1.0,42,3,7,4,0.0,24.0
1.0,85,7,4,9,0.0,81.0
1.0,72,3,3,8,0.0,54.0
1.0,49,2,7,5,0.0,25.0
1.0,70,4,8,6,0.0,53.0
0.0,54,8,6,6,1.0,48.0
1.0,46,9,3,7,0.0,40.0
0.0,75,7,6,8,1.0,66.0
1.0,53,1,5,8,0.0,29.0
1.0,95,3,2,4,0.0,73.0
0.0,87,9,9,8,1.0,89.0
1.0,53,1,2,6,0.0,27.0
1.0,42,9,0,8,0.0,40.0
1.0,88,8,4,7,0.0,83.0
1.0,92,1,7,7,0.0,69.0
1.0,85,6,5,6,0.0,72.0
1.0,89,5,7,6,0.0,77.0
1.0,42,6,6,6,0.0,32.0
0.0,61,5,1,8,1.0,49.0
1.0,58,6,7,8,0.0,44.0
0.0,74,5,3,5,1.0,57.0
0.0,51,5,4,9,1.0,34.0
0.0,93,4,7,9,1.0,76.0
0.0,44,3,4,4,1.0,22.0
0.0,49,3,4,8,1.0,30.0
0.0,80,4,5,5,1.0,67.0
0.0,72,9,6,5,1.0,71.0
1.0,52,2,8,7,0.0,29.0
1.0,74,9,6,8,0.0,74.0
1.0,90,1,5,5,0.0,67.0
0.0,71,1,9,7,1.0,46.0
1.0,50,5,3,4,0.0,34.0
0.0,87,6,9,7,1.0,76.0
0.0,77,6,1,4,1.0,64.0
1.0,63,3,8,9,0.0,46.0
0.0,74,7,9,9,1.0,68.0
0.0,58,9,4,6,1.0,58.0
1.0,45,8,4,6,0.0,41.0
0.0,79,6,2,7,1.0,64.0
1.0,93,8,2,6,0.0,84.0
0.0,84,5,0,8,1.0,70.0
0.0,83,8,4,7,1.0,77.0
1.0,81,4,2,5,0.0,60.0
1.0,74,8,1,8,0.0,65.0
1.0,43,2,8,7,0.0,21.0
0.0,72,5,9,9,1.0,60.0
0.0,52,9,5,4,1.0,48.0
1.0,95,4,2,6,0.0,77.0
1.0,75,6,6,6,0.0,63.0
1.0,93,1,8,6,0.0,68.0
0.0,82,9,8,7,1.0,81.0
0.0,58,1,0,8,1.0,29.0
1.0,82,5,1,4,0.0,66.0
1.0,51,4,7,6,0.0,36.0
1.0,50,3,0,8,0.0,29.0
0.0,45,6,2,5,1.0,32.0
1.0,51,2,6,9,0.0,31.0
1.0,66,3,7,5,0.0,45.0
1.0,80,5,4,4,0.0,65.0
0.0,64,9,1,6,1.0,57.0
0.0,81,2,2,5,1.0,58.0
1.0,42,8,8,9,0.0,38.0
0.0,42,2,9,8,1.0,22.0
1.0,59,5,6,8,0.0,48.0
1.0,67,7,0,5,0.0,59.0
1.0,62,8,2,6,0.0,58.0
1.0,87,1,8,9,0.0,62.0
0.0,42,6,6,4,1.0,30.0
1.0,81,1,1,6,0.0,56.0
1.0,63,2,5,7,0.0,40.0
0.0,82,1,8,5,1.0,59.0
1.0,79,5,3,7,0.0,65.0
0.0,45,9,9,5,1.0,43.0
1.0,59,6,1,4,0.0,48.0
1.0,50,1,2,6,0.0,24.0
1.0,71,1,6,9,0.0,51.0
1.0,99,2,3,6,0.0,81.0
0.0,66,9,6,5,1.0,62.0
1.0,60,3,4,8,0.0,43.0
0.0,83,1,7,7,1.0,63.0
0.0,87,5,7,9,1.0,73.0
0.0,89,7,4,9,1.0,76.0
1.0,52,6,6,6,0.0,43.0
0.0,61,1,5,6,1.0,34.0
0.0,74,5,7,5,1.0,57.0
0.0,86,5,8,8,1.0,72.0
1.0,61,6,4,7,0.0,47.0
