,NumberOfQuizzesTaken,CourseCategory_Arts,CourseCategory_Business,CourseCategory_Programming,NumberOfVideosWatched,DeviceType,CourseCategory_Science,CourseCategory_Health,target
0,3,0.0,0.0,0.0,17,1,0.0,1.0,0
1,5,1.0,0.0,0.0,1,1,0.0,0.0,0
2,2,1.0,0.0,0.0,14,1,0.0,0.0,1
3,10,0.0,0.0,0.0,17,0,1.0,0.0,1
4,0,0.0,0.0,1.0,16,0,0.0,0.0,0
5,7,0.0,0.0,0.0,12,0,0.0,1.0,1
6,2,0.0,0.0,0.0,10,1,0.0,1.0,0
7,3,0.0,1.0,0.0,16,1,0.0,0.0,0
8,4,0.0,1.0,0.0,8,0,0.0,0.0,1
9,10,0.0,0.0,1.0,15,1,0.0,0.0,0
10,7,0.0,0.0,0.0,3,0,1.0,0.0,0
11,9,1.0,0.0,0.0,17,0,0.0,0.0,0
12,1,1.0,0.0,0.0,13,1,0.0,0.0,0
13,5,0.0,0.0,1.0,1,0,0.0,0.0,1
14,3,0.0,0.0,0.0,7,1,1.0,0.0,1
15,8,0.0,0.0,0.0,10,0,1.0,0.0,1
16,10,0.0,0.0,1.0,8,1,0.0,0.0,1
17,8,0.0,0.0,0.0,15,1,0.0,1.0,0
18,5,0.0,1.0,0.0,20,0,0.0,0.0,0
19,8,0.0,0.0,0.0,6,0,0.0,1.0,1
20,9,0.0,0.0,0.0,11,1,1.0,0.0,1
21,4,0.0,0.0,0.0,6,1,1.0,0.0,1
22,9,1.0,0.0,0.0,6,1,0.0,0.0,0
23,9,0.0,1.0,0.0,3,0,0.0,0.0,0
24,5,0.0,0.0,0.0,0,0,1.0,0.0,0
25,1,0.0,0.0,1.0,12,0,0.0,0.0,1
26,7,0.0,0.0,1.0,3,0,0.0,0.0,0
27,6,0.0,0.0,0.0,7,0,1.0,0.0,1
28,0,0.0,0.0,1.0,15,0,0.0,0.0,0
29,9,0.0,0.0,1.0,6,0,0.0,0.0,0
30,6,1.0,0.0,0.0,13,1,0.0,0.0,1
31,8,0.0,0.0,1.0,5,0,0.0,0.0,0
32,10,1.0,0.0,0.0,16,0,0.0,0.0,0
33,3,0.0,1.0,0.0,18,1,0.0,0.0,1
34,4,0.0,0.0,1.0,3,1,0.0,0.0,0
35,3,0.0,0.0,0.0,17,0,0.0,1.0,0
36,10,0.0,0.0,0.0,11,0,0.0,1.0,1
37,7,1.0,0.0,0.0,19,0,0.0,0.0,0
38,8,1.0,0.0,0.0,7,0,0.0,0.0,1
39,5,1.0,0.0,0.0,20,0,0.0,0.0,1
40,6,1.0,0.0,0.0,9,0,0.0,0.0,0
41,1,0.0,0.0,0.0,12,1,1.0,0.0,1
42,6,0.0,0.0,0.0,13,1,1.0,0.0,0
43,7,0.0,1.0,0.0,2,1,0.0,0.0,1
44,3,0.0,0.0,1.0,19,0,0.0,0.0,0
45,0,0.0,1.0,0.0,7,1,0.0,0.0,0
46,8,0.0,0.0,0.0,6,1,1.0,0.0,0
47,10,0.0,0.0,0.0,7,1,0.0,1.0,1
48,8,0.0,1.0,0.0,13,1,0.0,0.0,1
49,9,0.0,0.0,0.0,0,1,1.0,0.0,0
50,2,0.0,0.0,1.0,1,0,0.0,0.0,0
51,10,0.0,0.0,0.0,16,1,0.0,1.0,0
52,3,0.0,0.0,1.0,2,1,0.0,0.0,0
53,7,0.0,0.0,0.0,13,0,1.0,0.0,1
54,0,0.0,0.0,0.0,13,0,0.0,1.0,0
55,4,1.0,0.0,0.0,8,1,0.0,0.0,0
56,1,1.0,0.0,0.0,15,0,0.0,0.0,0
57,8,0.0,0.0,1.0,4,0,0.0,0.0,1
58,7,0.0,0.0,1.0,15,1,0.0,0.0,1
59,2,1.0,0.0,0.0,7,0,0.0,0.0,0
60,9,1.0,0.0,0.0,13,0,0.0,0.0,1
61,4,1.0,0.0,0.0,10,1,0.0,0.0,1
62,10,1.0,0.0,0.0,10,0,0.0,0.0,1
63,5,0.0,1.0,0.0,2,1,0.0,0.0,0
64,10,1.0,0.0,0.0,12,0,0.0,0.0,1
65,8,0.0,0.0,1.0,17,0,0.0,0.0,0
66,3,1.0,0.0,0.0,0,1,0.0,0.0,0
67,8,0.0,0.0,0.0,9,1,0.0,1.0,1
68,9,0.0,0.0,0.0,8,1,1.0,0.0,0
69,9,0.0,0.0,0.0,14,1,0.0,1.0,0
70,4,0.0,0.0,1.0,14,0,0.0,0.0,1
71,0,0.0,0.0,1.0,18,1,0.0,0.0,1
72,4,0.0,0.0,0.0,2,1,0.0,1.0,0
73,7,0.0,0.0,0.0,3,1,0.0,1.0,1
74,9,0.0,0.0,0.0,20,0,1.0,0.0,1
75,4,0.0,0.0,0.0,7,1,1.0,0.0,1
