Weight,Gpu,Company,Inches,ScreenResolution,Ram,Memory,TypeName,Product,OpSys,Cpu,target
74,53,7,15.6,8,8,16,3,50,4,74,575.0
105,17,0,15.6,0,5,26,3,58,5,14,400.0
62,61,0,14.0,15,8,16,4,430,5,83,770.0
74,53,7,15.6,0,5,26,3,50,4,74,393.9
74,47,7,15.6,8,5,26,3,50,4,56,344.99
113,24,4,15.6,8,5,16,3,239,5,56,498.9
113,24,4,15.6,8,8,16,3,239,5,97,745.0
113,72,10,15.6,8,8,10,3,209,4,59,499.0
129,75,10,15.6,15,8,5,1,291,5,77,999.0
57,61,4,13.3,7,8,16,0,244,5,83,819.0
121,47,4,15.6,0,5,10,3,239,5,56,418.64
113,7,4,15.6,8,8,16,3,247,5,83,800.0
129,69,7,17.3,8,8,10,3,364,5,83,896.0
105,53,0,15.6,0,5,10,3,58,2,60,367.0
144,7,4,17.3,15,8,5,3,252,5,83,979.0
74,53,7,15.6,0,5,10,3,50,5,74,488.69
105,70,7,15.6,8,8,16,3,363,5,83,879.0
132,79,4,15.6,15,1,18,1,258,5,102,1499.0
113,47,10,15.6,0,5,4,3,211,4,56,369.0
121,24,4,15.6,8,5,16,3,239,5,74,639.0
49,61,7,13.3,8,8,29,3,361,5,106,1103.0
124,53,0,15.6,0,5,10,3,58,5,59,384.0
144,7,4,17.3,8,1,20,3,252,5,106,1299.0
74,53,7,15.6,8,8,16,3,50,5,74,690.0
74,6,7,15.6,0,5,26,3,50,5,56,438.69
113,7,4,15.6,8,8,16,3,247,5,106,870.0
113,53,10,15.6,8,8,22,3,210,4,74,519.0
88,61,4,15.6,8,8,5,3,247,5,106,855.0
129,69,7,17.3,8,8,5,3,364,5,83,977.0
58,53,7,14.0,8,8,16,3,362,5,83,860.0
105,17,0,15.6,0,5,10,3,58,5,14,395.0
132,76,4,15.6,15,1,5,1,258,5,102,1349.0
84,53,7,15.6,8,8,16,3,50,5,74,598.99
22,61,4,13.3,15,8,16,4,576,5,106,1649.0
113,98,0,15.6,8,8,10,3,59,5,106,689.0
