time_signature,audio_valence,song_name,speechiness,tempo,energy,song_duration_ms,loudness,danceability,liveness,instrumentalness,acousticness,target
4,0.474,1561,0.0294,167.06,0.682,262333,-4.095,0.496,0.0589,2.94e-05,0.00552,73
4,0.37,5541,0.0498,105.256,0.853,216933,-6.407,0.542,0.108,0.0,0.0103,66
4,0.324,9638,0.0792,123.881,0.4629999999999999,231733,-7.827999999999999,0.737,0.255,0.447,0.00817,76
4,0.198,1760,0.107,122.444,0.97,216933,-4.938,0.451,0.102,0.00355,0.0264,74
4,0.574,4988,0.0313,172.011,0.7659999999999999,223826,-5.065,0.447,0.113,0.0,0.0009539999999999,56
4,0.32,1647,0.124,189.931,0.945,235893,-3.169,0.316,0.396,1.85e-06,0.00895,80
4,0.7240000000000001,6225,0.0624,90.578,0.887,199893,-3.659,0.581,0.268,0.0011099999999999,0.000504,81
4,0.537,740,0.0855,105.046,0.953,213800,-3.435,0.613,0.152,0.000582,0.00148,76
4,0.2339999999999999,7451,0.0917,148.112,0.936,222586,-3.66,0.33,0.0926,0.0,0.00108,80
4,0.374,9650,0.054,153.398,0.905,203346,-5.653,0.542,0.136,0.0104,0.00172,81
4,0.93,11061,0.0483,161.944,0.897,168253,-3.401,0.629,0.263,0.0,0.0424,78
4,0.243,7997,0.0381,110.018,0.863,185586,-4.1530000000000005,0.496,0.639,0.0,0.0046,63
4,0.875,10011,0.06,126.942,0.964,209266,-4.225,0.647,0.15,0.0036,0.00434,75
4,0.875,1887,0.0456,91.455,0.938,269000,-3.442,0.618,0.1669999999999999,0.0,0.0179,81
4,0.3,2116,0.121,127.204,0.929,210240,-3.899,0.42,0.122,0.0007469999999999,0.0003529999999999,69
4,0.494,10692,0.0371,104.545,0.6759999999999999,237026,-8.821,0.278,0.136,0.000899,0.000423,77
4,0.623,5219,0.0379,110.022,0.778,227240,-6.422999999999999,0.659,0.0841,6.79e-06,0.0013599999999999,71
4,0.345,1232,0.0767,130.315,0.944,256600,-4.979,0.37,0.135,2.9e-06,0.00701,62
4,0.635,5331,0.134,170.06,0.795,187613,-4.985,0.5670000000000001,0.114,0.0,0.0938,77
4,0.5429999999999999,6045,0.0286,99.01,0.865,233933,-5.707999999999999,0.545,0.168,1.12e-05,0.00664,79
3,0.302,11033,0.0646,183.035,0.912,231533,-3.881,0.309,0.5820000000000001,0.000271,0.0014,69
4,0.173,11787,0.0432,137.028,0.715,230760,-5.356,0.276,0.201,0.000417,0.00552,79
4,0.687,7843,0.0486,170.953,0.5379999999999999,255066,-5.818,0.518,0.141,0.000398,0.0137,13
4,0.861,5762,0.06,134.007,0.981,195666,-2.603,0.58,0.386,1.07e-05,0.0171,62
4,0.411,11776,0.0775,128.019,0.905,304840,-4.046,0.602,0.1169999999999999,0.064,0.000202,77
4,0.298,4766,0.0293,103.973,0.291,232533,-10.572,0.657,0.114,0.0,0.872,79
4,0.495,1461,0.0584,157.438,0.932,303920,-4.488,0.44,0.142,0.0,0.0102,28
4,0.769,604,0.0639,186.113,0.988,176346,-2.042,0.38,0.368,7.859999999999999e-05,2.64e-05,78
4,0.236,12158,0.0752,96.95,0.905,311106,-4.103,0.217,0.222,0.00011,0.000289,77
4,0.59,4248,0.0402,99.988,0.725,213106,-6.4110000000000005,0.7140000000000001,0.0726,0.0,0.0156,71
4,0.674,497,0.0512,167.738,0.597,262733,-5.671,0.5820000000000001,0.517,0.000273,0.000194,11
4,0.516,6460,0.0276,107.849,0.568,293960,-5.477,0.614,0.0997,0.0,0.00797,77
4,0.0824,5689,0.0338,116.529,0.774,264706,-4.053999999999999,0.509,0.143,0.000549,0.0018899999999999,65
4,0.4529999999999999,5160,0.0421,89.34200000000001,0.83,231480,-5.157,0.498,0.139,0.0,0.00461,75
4,0.6920000000000001,9252,0.18,96.234,0.932,213760,-3.3280000000000003,0.599,0.2689999999999999,0.0,0.00506,74
4,0.573,3683,0.0715,98.075,0.911,178266,-5.176,0.574,0.0769,0.0,0.000618,74
4,0.365,11104,0.0431,172.984,0.959,269373,-4.04,0.433,0.0279999999999999,0.0,0.000917,11
4,0.526,9490,0.0487,112.447,0.93,242280,-3.468,0.5489999999999999,0.39,6.670000000000001e-05,0.00164,73
4,0.544,1472,0.0708,130.936,0.932,201960,-3.405,0.6559999999999999,0.144,0.00147,0.00347,74
4,0.6990000000000001,10463,0.0794,161.977,0.8240000000000001,229093,-4.7410000000000005,0.499,0.163,0.0,0.00898,79
4,0.797,6224,0.0295,104.055,0.899,193373,-5.71,0.624,0.0975,0.000155,0.0223,70
4,0.434,11329,0.036,105.754,0.753,282946,-4.618,0.545,0.389,0.0,0.0417,60
4,0.357,10947,0.0851,167.032,0.961,200546,-4.421,0.374,0.138,0.0834,5.53e-05,69
4,0.941,3072,0.0553,89.954,0.8759999999999999,279213,-4.262,0.695,0.106,6.89e-06,0.000996,73
4,0.35,12463,0.0387,169.873,0.768,212733,-7.48,0.246,0.102,0.301,0.0006309999999999,62
4,0.517,12820,0.0621,97.867,0.86,256240,-7.532999999999999,0.563,0.39,0.0106,0.00834,72
4,0.6829999999999999,11835,0.0613,139.946,0.831,194520,-3.892,0.391,0.141,0.0019199999999999,0.000153,57
4,0.725,7302,0.0488,143.526,0.875,206586,-4.49,0.309,0.113,0.00168,0.000213,71
4,0.778,5068,0.0356,103.183,0.948,173680,-4.19,0.535,0.376,0.0,0.00225,63
4,0.537,10313,0.12,123.669,0.578,215266,-4.563,0.524,0.108,0.00921,0.0132,64
4,0.17,3644,0.0409999999999999,104.102,0.769,270920,-7.0360000000000005,0.4679999999999999,0.271,0.00124,0.00014,71
4,0.698,2409,0.0885,93.675,0.932,175026,-4.4910000000000005,0.5920000000000001,0.138,7.59e-05,0.000295,61
4,0.386,5255,0.0671,169.22099999999998,0.93,246040,-4.478,0.213,0.126,0.0,4.78e-05,67
1,0.172,12503,0.176,112.886,0.952,176306,-3.621,0.2189999999999999,0.157,0.0989,5.1e-05,63
4,0.368,9805,0.0483,89.4,0.8540000000000001,277840,-3.868,0.433,0.162,0.000177,0.000336,72
3,0.332,11116,0.0488,140.055,0.843,238400,-3.318,0.509,0.348,0.0008029999999999,0.000671,71
4,0.416,9063,0.0819999999999999,127.831,0.959,207213,-4.664,0.546,0.0584,0.00144,0.00018,70
4,0.349,8629,0.05,136.018,0.965,218000,-4.232,0.408,0.11,0.0004019999999999,6.94e-06,65
4,0.179,2026,0.0854,141.58100000000002,0.853,299533,-4.647,0.2689999999999999,0.118,0.000246,0.000249,69
3,0.31,5802,0.0572,82.305,0.894,247266,-4.682,0.365,0.267,0.171,3.32e-05,66
4,0.174,6855,0.0544,97.064,0.54,210367,-6.35,0.818,0.099,0.000512,0.0143,94
4,0.591,10718,0.2289999999999999,95.948,0.7979999999999999,212500,-4.206,0.841,0.0618,3.33e-06,0.153,98
4,0.634,12327,0.052,127.965,0.497,185282,-6.94,0.83,0.0906,0.0,0.0983,59
4,0.303,5880,0.054,94.973,0.7659999999999999,199230,-6.08,0.687,0.146,0.00107,0.0557,73
4,0.249,1134,0.0337,100.027,0.7170000000000001,180000,-4.722,0.638,0.105,0.0,0.346,94
4,0.667,1998,0.107,166.043,0.703,179693,-4.178999999999999,0.746,0.331,0.0,0.352,87
4,0.184,4367,0.0797,100.04,0.63,235720,-3.932,0.823,0.0964,6.72e-06,0.0348,73
4,0.6629999999999999,8982,0.0969,91.947,0.512,223583,-6.869,0.701,0.135,5.07e-06,0.235,85
4,0.8540000000000001,8368,0.131,74.992,0.884,243487,-6.279,0.695,0.104,0.0,0.1169999999999999,61
4,0.6459999999999999,8370,0.318,169.97799999999998,0.584,210865,-8.467,0.722,0.115,0.000321,0.716,58
4,0.367,11965,0.0485,143.01,0.578,204664,-5.144,0.8,0.359,0.0,0.00381,92
4,0.674,3481,0.283,130.04,0.74,215151,-4.566,0.8170000000000001,0.0992,0.0,0.266,83
4,0.7190000000000001,1039,0.12,83.82799999999999,0.66,202373,-5.626,0.3979999999999999,0.121,0.0,0.107,57
4,0.158,12600,0.139,132.035,0.748,162733,-5.959,0.812,0.174,0.0,0.00397,44
4,0.346,2268,0.046,161.971,0.7340000000000001,157461,-4.008,0.659,0.242,2.48e-06,0.0526,47
4,0.7090000000000001,2289,0.177,160.099,0.778,170997,-4.101,0.705,0.244,0.0,0.2319999999999999,54
4,0.777,1369,0.2,173.747,0.687,188440,-4.632,0.723,0.124,0.000207,0.0255,47
4,0.62,6748,0.451,139.998,0.402,253714,-7.569,0.928,0.0804,0.0,0.0257,64
4,0.129,7197,0.0485,119.941,0.675,272000,-7.555,0.465,0.11,0.267,0.902,56
4,0.594,2353,0.0302,115.031,0.652,174000,-10.558,0.632,0.1939999999999999,0.85,0.5710000000000001,49
4,0.1939999999999999,10062,0.089,174.273,0.179,209573,-10.273,0.471,0.1009999999999999,0.0,0.921,65
4,0.415,7995,0.0625,96.035,0.545,202754,-6.466,0.871,0.0756,0.000499,0.0857,52
4,0.732,4810,0.149,118.051,0.606,178009,-7.093,0.8290000000000001,0.281,0.391,0.0646,61
4,0.948,6307,0.192,164.002,0.649,169251,-5.26,0.8370000000000001,0.103,7.63e-05,0.149,65
4,0.777,2779,0.138,103.029,0.635,220826,-5.718999999999999,0.8170000000000001,0.245,7.85e-06,0.1369999999999999,77
4,0.286,865,0.109,102.063,0.902,217822,-3.559,0.635,0.125,0.0,0.172,95
4,0.65,5190,0.129,136.048,0.726,253390,-3.998,0.816,0.372,0.0,0.099,95
4,0.5710000000000001,12845,0.103,109.989,0.626,217652,-5.138999999999999,0.815,0.275,1.31e-05,0.267,74
4,0.349,4609,0.0321,105.031,0.579,199095,-4.0360000000000005,0.7509999999999999,0.133,2.28e-05,0.3979999999999999,77
4,0.611,8779,0.0566,93.013,0.906,185743,-1.49,0.736,0.12,0.000123,0.0749,45
4,0.599,8869,0.0482,102.976,0.818,166253,-5.532,0.695,0.305,3.36e-06,0.00245,52
4,0.65,2282,0.0659,92.046,0.847,234373,-3.574,0.5429999999999999,0.0551,0.0,0.00323,38
4,0.823,708,0.0633,104.01,0.841,193846,-4.288,0.841,0.108,2.6e-05,0.271,46
4,0.952,7812,0.207,147.173,0.546,208800,-9.504,0.777,0.0809,0.0,0.425,44
4,0.619,3211,0.0949,92.018,0.789,211437,-4.695,0.84,0.309,0.0,0.102,75
4,0.69,9451,0.094,132.109,0.713,202853,-3.646,0.831,0.0572,0.0,0.181,75
4,0.7609999999999999,459,0.0396,121.046,0.481,198386,-8.6,0.825,0.239,0.0,0.0797,45
4,0.708,5848,0.0675,129.937,0.7509999999999999,224413,-5.812,0.682,0.11,0.0,0.235,53
4,0.6970000000000001,7755,0.0415,127.023,0.616,218448,-4.599,0.799,0.283,0.00237,0.00694,38
4,0.507,9528,0.178,120.902,0.965,176702,-1.396,0.921,0.3229999999999999,0.0002009999999999,0.196,60
4,0.435,3007,0.0731,123.159,0.617,133120,-8.732000000000001,0.703,0.271,5.610000000000001e-05,0.108,39
4,0.794,46,0.0589,94.968,0.895,201526,-3.112,0.792,0.0501,0.0,0.165,88
5,0.6609999999999999,8369,0.134,133.247,0.557,216689,-7.522,0.596,0.0565,0.0,0.0983,77
